name,email,location,mobile
"Agriculture, Forestry and Fishing",Dollars (millions),H24,Total assets
"Agriculture, Forestry and Fishing",Dollars (millions),H25,Current assets
"Agriculture, Forestry and Fishing",Dollars (millions),H26,Fixed tangible assets
"Agriculture, Forestry and Fishing",Dollars (millions),H29,Other assets
"Agriculture, Forestry and Fishing",Dollars (millions),H30,Total equity and liabilities
"Agriculture, Forestry and Fishing",Dollars (millions),H31,Shareholders funds or owners equity
"Agriculture, Forestry and Fishing",Dollars (millions),H32,Current liabilities
"Agriculture, Forestry and Fishing",Dollars (millions),H33,Other liabilities
"Agriculture, Forestry and Fishing",Dollars,H34,Total income per employee count
"Agriculture, Forestry and Fishing",Dollars,H35,Surplus per employee count
"Agriculture, Forestry and Fishing",Percentage,H36,Current ratio
"Agriculture, Forestry and Fishing",Percentage,H37,Quick ratio
"Agriculture, Forestry and Fishing",Percentage,H39,Return on equity
"Agriculture, Forestry and Fishing",Percentage,H40,Return on total assets
"Agriculture, Forestry and Fishing",Percentage,H41,Liabilities structure
Horticulture and Fruit Growing,Dollars (millions),H01,Total income
Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies"
Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations"
Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income
Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure
Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations
Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes
Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation
Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid
Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance
Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses
Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses
Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks
Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks
Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax
Horticulture and Fruit Growing,Dollars (millions),H24,Total assets
Horticulture and Fruit Growing,Dollars (millions),H25,Current assets
Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets
Horticulture and Fruit Growing,Dollars (millions),H29,Other assets
Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities
Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity
Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities
Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities
Horticulture and Fruit Growing,Dollars,H34,Total income per employee count
Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count
Horticulture and Fruit Growing,Percentage,H36,Current ratio
Horticulture and Fruit Growing,Percentage,H37,Quick ratio
Horticulture and Fruit Growing,Percentage,H39,Return on equity
Horticulture and Fruit Growing,Percentage,H40,Return on total assets
Horticulture and Fruit Growing,Percentage,H41,Liabilities structure
Horticulture and Fruit Growing,Dollars (millions),H01,Total income
Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies"
Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations"
Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income
Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure
Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations
Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes
Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation
Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid
Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance
Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses
Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses
Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks
Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks
Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax
Horticulture and Fruit Growing,Dollars (millions),H24,Total assets
Horticulture and Fruit Growing,Dollars (millions),H25,Current assets
Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets
Horticulture and Fruit Growing,Dollars (millions),H29,Other assets
Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities
Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity
Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities
Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities
Horticulture and Fruit Growing,Dollars,H34,Total income per employee count
Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count
Horticulture and Fruit Growing,Percentage,H36,Current ratio
Horticulture and Fruit Growing,Percentage,H37,Quick ratio
Horticulture and Fruit Growing,Percentage,H39,Return on equity
Horticulture and Fruit Growing,Percentage,H40,Return on total assets
Horticulture and Fruit Growing,Percentage,H41,Liabilities structure
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H01,Total income
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies"
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H05,"Interest, dividends and donations"
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H07,Non-operating income
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H08,Total expenditure
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H09,Interest and donations
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H10,Indirect taxes
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H11,Depreciation
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H12,Salaries and wages paid
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H13,Redundancy and severance
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H19,Purchases and other operating expenses
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H20,Non-operating expenses
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H21,Opening stocks
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H22,Closing stocks
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H23,Surplus before income tax
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H24,Total assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H25,Current assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H26,Fixed tangible assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H29,Other assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H30,Total equity and liabilities
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H31,Shareholders funds or owners equity
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H32,Current liabilities
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H33,Other liabilities
"Sheep, Beef Cattle and Grain Farming",Dollars,H34,Total income per employee count
"Sheep, Beef Cattle and Grain Farming",Dollars,H35,Surplus per employee count
"Sheep, Beef Cattle and Grain Farming",Percentage,H36,Current ratio
"Sheep, Beef Cattle and Grain Farming",Percentage,H37,Quick ratio
"Sheep, Beef Cattle and Grain Farming",Percentage,H39,Return on equity
"Sheep, Beef Cattle and Grain Farming",Percentage,H40,Return on total assets
"Sheep, Beef Cattle and Grain Farming",Percentage,H41,Liabilities structure
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H01,Total income
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies"
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H05,"Interest, dividends and donations"
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H07,Non-operating income
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H08,Total expenditure
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H09,Interest and donations
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H10,Indirect taxes
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H11,Depreciation
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H12,Salaries and wages paid
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H13,Redundancy and severance
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H19,Purchases and other operating expenses
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H20,Non-operating expenses
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H21,Opening stocks
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H22,Closing stocks
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H23,Surplus before income tax
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H24,Total assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H25,Current assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H26,Fixed tangible assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H29,Other assets
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H30,Total equity and liabilities
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H31,Shareholders funds or owners equity
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H32,Current liabilities
"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H33,Other liabilities
"Sheep, Beef Cattle and Grain Farming",Dollars,H34,Total income per employee count
"Sheep, Beef Cattle and Grain Farming",Dollars,H35,Surplus per employee count
"Sheep, Beef Cattle and Grain Farming",Percentage,H36,Current ratio
"Sheep, Beef Cattle and Grain Farming",Percentage,H37,Quick ratio
"Sheep, Beef Cattle and Grain Farming",Percentage,H39,Return on equity
"Sheep, Beef Cattle and Grain Farming",Percentage,H40,Return on total assets
"Sheep, Beef Cattle and Grain Farming",Percentage,H41,Liabilities structure
Dairy Cattle Farming,Dollars (millions),H01,Total income
Dairy Cattle Farming,Dollars (millions),H04,"Sales, government funding, grants and subsidies"
Dairy Cattle Farming,Dollars (millions),H05,"Interest, dividends and donations"
Dairy Cattle Farming,Dollars (millions),H07,Non-operating income
Dairy Cattle Farming,Dollars (millions),H08,Total expenditure
Dairy Cattle Farming,Dollars (millions),H09,Interest and donations
Dairy Cattle Farming,Dollars (millions),H10,Indirect taxes
Dairy Cattle Farming,Dollars (millions),H11,Depreciation
Dairy Cattle Farming,Dollars (millions),H12,Salaries and wages paid
Dairy Cattle Farming,Dollars (millions),H13,Redundancy and severance
Dairy Cattle Farming,Dollars (millions),H19,Purchases and other operating expenses
Dairy Cattle Farming,Dollars (millions),H20,Non-operating expenses
Dairy Cattle Farming,Dollars (millions),H21,Opening stocks
Dairy Cattle Farming,Dollars (millions),H22,Closing stocks
Dairy Cattle Farming,Dollars (millions),H23,Surplus before income tax
Dairy Cattle Farming,Dollars (millions),H24,Total assets
Dairy Cattle Farming,Dollars (millions),H25,Current assets
Dairy Cattle Farming,Dollars (millions),H26,Fixed tangible assets
Dairy Cattle Farming,Dollars (millions),H29,Other assets
Dairy Cattle Farming,Dollars (millions),H30,Total equity and liabilities
Dairy Cattle Farming,Dollars (millions),H31,Shareholders funds or owners equity
Dairy Cattle Farming,Dollars (millions),H32,Current liabilities
Dairy Cattle Farming,Dollars (millions),H33,Other liabilities
Dairy Cattle Farming,Dollars,H34,Total income per employee count
Dairy Cattle Farming,Dollars,H35,Surplus per employee count
Dairy Cattle Farming,Percentage,H36,Current ratio
Dairy Cattle Farming,Percentage,H37,Quick ratio
Dairy Cattle Farming,Percentage,H39,Return on equity
Dairy Cattle Farming,Percentage,H40,Return on total assets
Dairy Cattle Farming,Percentage,H41,Liabilities structure
Dairy Cattle Farming,Dollars (millions),H01,Total income
Dairy Cattle Farming,Dollars (millions),H04,"Sales, government funding, grants and subsidies"
Dairy Cattle Farming,Dollars (millions),H05,"Interest, dividends and donations"
Dairy Cattle Farming,Dollars (millions),H07,Non-operating income
Dairy Cattle Farming,Dollars (millions),H08,Total expenditure
Dairy Cattle Farming,Dollars (millions),H09,Interest and donations
Dairy Cattle Farming,Dollars (millions),H10,Indirect taxes
Dairy Cattle Farming,Dollars (millions),H11,Depreciation
Dairy Cattle Farming,Dollars (millions),H12,Salaries and wages paid
Dairy Cattle Farming,Dollars (millions),H13,Redundancy and severance
Dairy Cattle Farming,Dollars (millions),H19,Purchases and other operating expenses
Dairy Cattle Farming,Dollars (millions),H20,Non-operating expenses
Dairy Cattle Farming,Dollars (millions),H21,Opening stocks
Dairy Cattle Farming,Dollars (millions),H22,Closing stocks
Dairy Cattle Farming,Dollars (millions),H23,Surplus before income tax
Dairy Cattle Farming,Dollars (millions),H24,Total assets
Dairy Cattle Farming,Dollars (millions),H25,Current assets
Dairy Cattle Farming,Dollars (millions),H26,Fixed tangible assets
Dairy Cattle Farming,Dollars (millions),H29,Other assets
Dairy Cattle Farming,Dollars (millions),H30,Total equity and liabilities
Dairy Cattle Farming,Dollars (millions),H31,Shareholders funds or owners equity
Dairy Cattle Farming,Dollars (millions),H32,Current liabilities
Dairy Cattle Farming,Dollars (millions),H33,Other liabilities
Dairy Cattle Farming,Dollars,H34,Total income per employee count
Dairy Cattle Farming,Dollars,H35,Surplus per employee count
Dairy Cattle Farming,Percentage,H36,Current ratio
Dairy Cattle Farming,Percentage,H37,Quick ratio
Dairy Cattle Farming,Percentage,H39,Return on equity
Dairy Cattle Farming,Percentage,H40,Return on total assets
Dairy Cattle Farming,Percentage,H41,Liabilities structure
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H01,Total income
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies"
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H05,"Interest, dividends and donations"
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H07,Non-operating income
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H08,Total expenditure
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H09,Interest and donations
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H10,Indirect taxes
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H11,Depreciation
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H12,Salaries and wages paid
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H13,Redundancy and severance
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H19,Purchases and other operating expenses
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H20,Non-operating expenses
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H21,Opening stocks
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H22,Closing stocks
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H23,Surplus before income tax
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H24,Total assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H25,Current assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H26,Fixed tangible assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H29,Other assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H30,Total equity and liabilities
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H31,Shareholders funds or owners equity
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H32,Current liabilities
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H33,Other liabilities
"Poultry, Deer and Other Livestock Farming",Dollars,H34,Total income per employee count
"Poultry, Deer and Other Livestock Farming",Dollars,H35,Surplus per employee count
"Poultry, Deer and Other Livestock Farming",Percentage,H36,Current ratio
"Poultry, Deer and Other Livestock Farming",Percentage,H37,Quick ratio
"Poultry, Deer and Other Livestock Farming",Percentage,H39,Return on equity
"Poultry, Deer and Other Livestock Farming",Percentage,H40,Return on total assets
"Poultry, Deer and Other Livestock Farming",Percentage,H41,Liabilities structure
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H01,Total income
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies"
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H05,"Interest, dividends and donations"
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H07,Non-operating income
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H08,Total expenditure
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H09,Interest and donations
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H10,Indirect taxes
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H11,Depreciation
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H12,Salaries and wages paid
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H13,Redundancy and severance
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H19,Purchases and other operating expenses
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H20,Non-operating expenses
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H21,Opening stocks
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H22,Closing stocks
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H23,Surplus before income tax
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H24,Total assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H25,Current assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H26,Fixed tangible assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H29,Other assets
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H30,Total equity and liabilities
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H31,Shareholders funds or owners equity
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H32,Current liabilities
"Poultry, Deer and Other Livestock Farming",Dollars (millions),H33,Other liabilities
"Poultry, Deer and Other Livestock Farming",Dollars,H34,Total income per employee count
"Poultry, Deer and Other Livestock Farming",Dollars,H35,Surplus per employee count
"Poultry, Deer and Other Livestock Farming",Percentage,H36,Current ratio
"Poultry, Deer and Other Livestock Farming",Percentage,H37,Quick ratio
"Poultry, Deer and Other Livestock Farming",Percentage,H39,Return on equity
"Poultry, Deer and Other Livestock Farming",Percentage,H40,Return on total assets
"Poultry, Deer and Other Livestock Farming",Percentage,H41,Liabilities structure
Forestry and Logging,Dollars (millions),H01,Total income
Forestry and Logging,Dollars (millions),H04,Sales of goods and services
Forestry and Logging,Dollars (millions),H05,"Interest, dividends and donations"
Forestry and Logging,Dollars (millions),H06,"Government funding, grants and subsidies"
Forestry and Logging,Dollars (millions),H07,Non-operating income
Forestry and Logging,Dollars (millions),H08,Total expenditure
Forestry and Logging,Dollars (millions),H09,Interest and donations
Forestry and Logging,Dollars (millions),H10,Indirect taxes
Forestry and Logging,Dollars (millions),H11,Depreciation
Forestry and Logging,Dollars (millions),H12,Salaries and wages paid
Forestry and Logging,Dollars (millions),H13,Redundancy and severance
Forestry and Logging,Dollars (millions),H19,Purchases and other operating expenses
Forestry and Logging,Dollars (millions),H20,Non-operating expenses
Forestry and Logging,Dollars (millions),H21,Opening stocks
Forestry and Logging,Dollars (millions),H22,Closing stocks
Forestry and Logging,Dollars (millions),H23,Surplus before income tax
Forestry and Logging,Dollars (millions),H24,Total assets
Forestry and Logging,Dollars (millions),H25,Current assets
Forestry and Logging,Dollars (millions),H26,Fixed tangible assets
Forestry and Logging,Dollars (millions),H29,Other assets
Forestry and Logging,Dollars (millions),H30,Total equity and liabilities
Forestry and Logging,Dollars (millions),H31,Shareholders funds or owners equity
Forestry and Logging,Dollars (millions),H32,Current liabilities
Forestry and Logging,Dollars (millions),H33,Other liabilities
Forestry and Logging,Dollars,H34,Total income per employee count
Forestry and Logging,Dollars,H35,Surplus per employee count
Forestry and Logging,Percentage,H36,Current ratio
Forestry and Logging,Percentage,H37,Quick ratio
Forestry and Logging,Percentage,H39,Return on equity
Forestry and Logging,Percentage,H40,Return on total assets
Forestry and Logging,Percentage,H41,Liabilities structure
Forestry and Logging,Dollars (millions),H01,Total income
Forestry and Logging,Dollars (millions),H04,Sales of goods and services
Forestry and Logging,Dollars (millions),H05,"Interest, dividends and donations"
Forestry and Logging,Dollars (millions),H06,"Government funding, grants and subsidies"
Forestry and Logging,Dollars (millions),H07,Non-operating income
Forestry and Logging,Dollars (millions),H08,Total expenditure
Forestry and Logging,Dollars (millions),H09,Interest and donations
Forestry and Logging,Dollars (millions),H10,Indirect taxes
Forestry and Logging,Dollars (millions),H11,Depreciation
Forestry and Logging,Dollars (millions),H12,Salaries and wages paid
Forestry and Logging,Dollars (millions),H13,Redundancy and severance
Forestry and Logging,Dollars (millions),H19,Purchases and other operating expenses
Forestry and Logging,Dollars (millions),H20,Non-operating expenses
Forestry and Logging,Dollars (millions),H21,Opening stocks
Forestry and Logging,Dollars (millions),H22,Closing stocks
Forestry and Logging,Dollars (millions),H23,Surplus before income tax
Forestry and Logging,Dollars (millions),H24,Total assets
Forestry and Logging,Dollars (millions),H25,Current assets
Forestry and Logging,Dollars (millions),H26,Fixed tangible assets
Forestry and Logging,Dollars (millions),H29,Other assets
Forestry and Logging,Dollars (millions),H30,Total equity and liabilities
Forestry and Logging,Dollars (millions),H31,Shareholders funds or owners equity
Forestry and Logging,Dollars (millions),H32,Current liabilities
Forestry and Logging,Dollars (millions),H33,Other liabilities
Forestry and Logging,Dollars,H34,Total income per employee count
Forestry and Logging,Dollars,H35,Surplus per employee count
Forestry and Logging,Percentage,H36,Current ratio
Forestry and Logging,Percentage,H37,Quick ratio
Forestry and Logging,Percentage,H39,Return on equity
Forestry and Logging,Percentage,H40,Return on total assets
Forestry and Logging,Percentage,H41,Liabilities structure
Fishing and Aquaculture,Dollars (millions),H01,Total income
Fishing and Aquaculture,Dollars (millions),H04,"Sales, government funding, grants and subsidies"
Fishing and Aquaculture,Dollars (millions),H05,"Interest, dividends and donations"
Fishing and Aquaculture,Dollars (millions),H07,Non-operating income
Fishing and Aquaculture,Dollars (millions),H08,Total expenditure
Fishing and Aquaculture,Dollars (millions),H09,Interest and donations
Fishing and Aquaculture,Dollars (millions),H10,Indirect taxes
Fishing and Aquaculture,Dollars (millions),H11,Depreciation
Fishing and Aquaculture,Dollars (millions),H12,Salaries and wages paid
Fishing and Aquaculture,Dollars (millions),H13,Redundancy and severance
Fishing and Aquaculture,Dollars (millions),H19,Purchases and other operating expenses
Fishing and Aquaculture,Dollars (millions),H20,Non-operating expenses
Fishing and Aquaculture,Dollars (millions),H21,Opening stocks
Fishing and Aquaculture,Dollars (millions),H22,Closing stocks
Fishing and Aquaculture,Dollars (millions),H23,Surplus before income tax
Fishing and Aquaculture,Dollars (millions),H24,Total assets
Fishing and Aquaculture,Dollars (millions),H25,Current assets
Fishing and Aquaculture,Dollars (millions),H26,Fixed tangible assets
Fishing and Aquaculture,Dollars (millions),H29,Other assets
Fishing and Aquaculture,Dollars (millions),H30,Total equity and liabilities
Fishing and Aquaculture,Dollars (millions),H31,Shareholders funds or owners equity
Fishing and Aquaculture,Dollars (millions),H32,Current liabilities
Fishing and Aquaculture,Dollars (millions),H33,Other liabilities
Fishing and Aquaculture,Dollars,H34,Total income per employee count
Fishing and Aquaculture,Dollars,H35,Surplus per employee count
Fishing and Aquaculture,Percentage,H36,Current ratio
Fishing and Aquaculture,Percentage,H37,Quick ratio
Fishing and Aquaculture,Percentage,H39,Return on equity
Fishing and Aquaculture,Percentage,H40,Return on total assets
Fishing and Aquaculture,Percentage,H41,Liabilities structure
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H01,Total income
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H04,Sales of goods and services
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H05,"Interest, dividends and donations"
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H06,"Government funding, grants and subsidies"
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H07,Non-operating income
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H08,Total expenditure
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H09,Interest and donations
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H10,Indirect taxes
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H11,Depreciation
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H12,Salaries and wages paid
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H13,Redundancy and severance
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H19,Purchases and other operating expenses
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H20,Non-operating expenses
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H21,Opening stocks
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H22,Closing stocks
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H23,Surplus before income tax
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H24,Total assets
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H25,Current assets
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H26,Fixed tangible assets
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H29,Other assets
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H30,Total equity and liabilities
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H31,Shareholders funds or owners equity
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H32,Current liabilities
"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions),H33,Other liabilities
